rank,comparison,strategy_a,strategy_b,mean_a,mean_b,mean_diff_a_minus_b,p_value,significant_p_lt_0_05
8,winner_vs_runner_up,random_orth,change_a_b,6.091729084650676,6.286506175994873,-0.1947770913441976,0.3628402823775916,False
8,winner_vs_svd_sqrt,random_orth,svd_sqrt,6.091729084650676,6.686697483062744,-0.5949683984120687,0.0001628491153142786,True
8,runner_up_vs_svd_sqrt,change_a_b,svd_sqrt,6.286506175994873,6.686697483062744,-0.4001913070678711,0.06674420403943904,False
16,winner_vs_runner_up,random_orth,svd_noscale,6.2133355140686035,6.548019250233968,-0.33468373616536456,0.028039004545521218,True
16,winner_vs_svd_sqrt,random_orth,svd_sqrt,6.2133355140686035,6.644576708475749,-0.4312411944071452,0.00012558824890129827,True
16,runner_up_vs_svd_sqrt,svd_noscale,svd_sqrt,6.548019250233968,6.644576708475749,-0.0965574582417806,0.4505364411454986,False
32,winner_vs_runner_up,change_b,change_a_b,6.781892697016398,6.80897585550944,-0.027083158493041992,0.696380638867468,False
32,winner_vs_svd_sqrt,change_b,svd_sqrt,6.781892697016398,6.966381470362346,-0.18448877334594727,0.012175028153955214,True
32,runner_up_vs_svd_sqrt,change_a_b,svd_sqrt,6.80897585550944,6.966381470362346,-0.15740561485290527,0.0002777304613155174,True
64,winner_vs_runner_up,change_a_b,change_b,6.466148455937703,6.860013326009114,-0.39386487007141113,0.00035464435701881847,True
64,winner_vs_svd_sqrt,change_a_b,svd_sqrt,6.466148455937703,7.12392012278239,-0.6577716668446859,3.9968028886505635e-15,True
64,runner_up_vs_svd_sqrt,change_b,svd_sqrt,6.860013326009114,7.12392012278239,-0.2639067967732747,0.000777807282235532,True
